"","animal.ID","age.years","age.class","Sex","BCS.Average","elevation","CAA.Estimate","Result","x.east","y.south"
"123",127,1.25,"Subadult","Female",4,237.336395263672,32,"positive",390027.532488754,7205786.25258633
"124",128,1.25,"Subadult","Male",3.25,237.336395263672,14,"negative",390027.532488754,7205786.25258633
"125",129,1.75,"Subadult","Male",3.5,237.336395263672,3,"negative",390564.074791514,7205570.20906323
"126",130,1.25,"Subadult","Female",4,237.336395263672,98,"positive",390564.074791514,7205570.20906323
"127",131,1.25,"Subadult","Female",3.75,237.336395263672,NA,"negative",390564.074791514,7205570.20906323
"128",132,1,"Calf","Male",4,237.336395263672,20,"negative",390564.074791514,7205570.20906323
"129",133,0.83,"Calf","Female",2.75,237.336395263672,2,"negative",390564.074791514,7205570.20906323
"130",134,2.5,"Subadult","Female",4.5,238.716064453125,24,"negative",389504.653602878,7208519.79520637
"131",135,8.9,"Adult","Female",4.25,238.716064453125,NA,"negative",389504.653602878,7208519.79520637
"132",136,1,"Calf","Female",4,238.716064453125,4,"negative",389504.653602878,7208519.79520637
"133",137,1,"Calf","Female",3.25,238.716064453125,10,"negative",389504.653602878,7208519.79520637
"134",138,1,"Calf","Male",3.5,238.716064453125,6,"negative",389504.653602878,7208519.79520637
"135",139,1,"Calf","Male",3,238.716064453125,6,"negative",389504.653602878,7208519.79520637
"136",140,3.5,"Adult","Female",4.5,238.716064453125,NA,"negative",389504.653602878,7208519.79520637
"137",141,7.8,"Adult","Female",4.5,244.507553100586,9,"negative",385961.555812152,7234895.89463012
"138",142,8.2,"Adult","Female",4.25,244.507553100586,8,"negative",385961.555812152,7234895.89463012
"139",143,5.9,"Adult","Female",4.5,244.507553100586,4,"negative",385961.555812152,7234895.89463012
"140",144,2,"Subadult","Male",4,244.507553100586,NA,"negative",385961.555812152,7234895.89463012
"141",145,1.25,"Subadult","Female",4,244.507553100586,NA,"negative",385961.555812152,7234895.89463012
"142",146,5.9,"Adult","Female",4.5,244.507553100586,1,"negative",385928.01702347,7234802.58487002
"143",147,9.3,"Adult","Female",4.5,244.507553100586,NA,"negative",385928.01702347,7234802.58487002
"144",149,8.5,"Adult","Female",4.25,244.507553100586,NA,"negative",385928.01702347,7234802.58487002
"145",150,2.5,"Subadult","Male",4,244.507553100586,3,"negative",385928.01702347,7234802.58487002
"146",151,1,"Calf","Male",4,244.507553100586,71,"positive",385928.01702347,7234802.58487002
"147",152,1,"Calf","Female",4.25,244.507553100586,NA,"negative",385928.01702347,7234802.58487002
"148",153,10.2,"Adult","Female",4.75,244.507553100586,NA,"negative",385928.01702347,7234802.58487002
"149",154,1.5,"Subadult","Female",4.25,285.366760253906,100,"positive",382321.315337934,7254184.34049273
