animal.ID,T/C Ratio,CAA Estimate,Result,age.years,age.class,Sex,Section,BCS.Average
367,0.009,NA,negative,1.5,Subadult,Female,Mooiplaas,4.25
368,0.011,NA,negative,2,Subadult,Female,Mooiplaas,3.75
369,0.019,9,negative,1.5,Subadult,Female,Mooiplaas,3.75
370,0.008,NA,negative,1.75,Subadult,Female,Mooiplaas,3.5
371,0.009,NA,negative,1.5,Subadult,Female,Mooiplaas,4.25
372,0.012,NA,negative,1.25,Subadult,Female,Mooiplaas,4.75
373,0.007,NA,negative,1.75,Subadult,Male,Mooiplaas,4.25
374,0.009,NA,negative,2,Subadult,Female,Mooiplaas,4.75
375,0.009,NA,negative,1.25,Subadult,Female,Mooiplaas,4.75
376,0.008,NA,negative,0.75,Calf,Female,Mooiplaas,4.75
377,0.01,NA,negative,1.5,Subadult,Male,Mooiplaas,5
378,0.008,NA,negative,0.75,Calf,Female,Mooiplaas,4.5
379,0.01,NA,negative,1.5,Subadult,Male,Mooiplaas,4.5
380,0.01,NA,negative,2,Subadult,Male,Mooiplaas,4.5
381,0.009,NA,negative,4.5,Adult,Female,Mahlangeni,3.5
382,0.008,NA,negative,8.54,Adult,Female,Mahlangeni,3.25
383,0.01,NA,negative,9.6,Adult,Female,Mahlangeni,3.5
384,5.597,16078,positive,1.25,Subadult,Female,Mahlangeni,3.5
385,0.015,4,negative,1.75,Subadult,Male,Mahlangeni,3.25
386,0.01,NA,negative,2,Subadult,Female,Mahlangeni,4
387,0.046,51,positive,1.25,Subadult,Female,Mahlangeni,3.75
388,0.013,1,negative,2,Subadult,Male,Mahlangeni,3.75
389,0.013,0,negative,2,Subadult,Female,Mahlangeni,3.25
390,0.007,NA,negative,1.75,Subadult,Male,Mahlangeni,3.5
391,0.014,3,negative,1.5,Subadult,Female,Mahlangeni,4
392,0.012,NA,negative,1.25,Subadult,Male,Mahlangeni,3.75
393,0.014,2,negative,9.77,Adult,Female,Mahlangeni,4.25
394,0.013,0,negative,1,Calf,Male,Mooiplaas,4.25
395,0.01,NA,negative,1.25,Subadult,Female,Mooiplaas,4.25
396,0.01,NA,negative,1.25,Subadult,Male,Mooiplaas,4.5
397,0.027,22,negative,2,Subadult,Male,Mahlangeni,4.75
398,0.014,2,negative,1.25,Subadult,Male,Mahlangeni,3.5
399,0.01,NA,negative,1.25,Subadult,Male,Mahlangeni,3.75
400,0.01,NA,negative,1.5,Subadult,Male,Mahlangeni,3.75
401,0.014,2,negative,1.25,Subadult,Female,Mahlangeni,3.5
402,0.008,NA,negative,1.5,Subadult,Female,Mahlangeni,4.25
403,0.007,NA,negative,1.75,Subadult,Female,Mahlangeni,3.25
404,0.008,NA,negative,2,Subadult,Female,Mahlangeni,3.5
405,0.012,NA,negative,1.5,Subadult,Male,Mahlangeni,3
406,0.015,3,negative,1.75,Subadult,Female,Mahlangeni,3.5
407,0.012,NA,negative,1.25,Subadult,Female,Mahlangeni,3.75
408,0.013,0,negative,1.75,Subadult,Male,Mahlangeni,3.5
409,0.014,2,negative,1.5,Subadult,Male,Mahlangeni,4
410,0.012,0,negative,1.75,Subadult,Male,Mahlangeni,3.5
411,0.009,NA,negative,1.5,Subadult,Female,Mahlangeni,3.5
412,0.009,NA,negative,1,Subadult,Male,Mahlangeni,3.5
413,0.014,2,negative,1.5,Calf,Female,Mahlangeni,3.5
414,0.014,2,negative,1.25,Subadult,Female,Mahlangeni,3.5
