x,y,value,Group,Fill
367768.273789123,7171561.80730248,0.000730125866786075,1,0
368201.026326976,7171561.80730248,0.000645593225433325,1,0
368633.778864829,7171561.80730248,0.000561060584080576,1,0
369066.531402682,7171561.80730248,0.000476527942727838,1,0
369499.283940536,7171561.80730248,0.000391995301375077,1,0
369932.036478389,7171561.80730248,0.000307462660022339,1,0
370364.789016242,7171561.80730248,0.000222930018669589,1,0
370797.541554095,7171561.80730248,0.00013839737731684,1,0
371230.294091949,7171561.80730248,5.38647359641015e-05,1,0
371663.046629802,7171561.80730248,-3.06679053886594e-05,1,0
372095.799167655,7171561.80730248,-0.000115200546741398,1,0
372528.551705508,7171561.80730248,-0.000199733188094147,1,0
372961.304243362,7171561.80730248,-0.000284265829446897,1,0
373394.056781215,7171561.80730248,-0.000416835799066049,1,0
373826.809319068,7171561.80730248,-0.000558103103893638,1,-0.003
374259.561856921,7171561.80730248,-0.00069937040872119,1,-0.003
374692.314394775,7171561.80730248,-0.00084063771354876,1,-0.003
375125.066932628,7171561.80730248,-0.00098190501837633,1,-0.003
375557.819470481,7171561.80730248,-0.00112317232320388,1,-0.003
375990.572008334,7171561.80730248,-0.00126443962803147,1,-0.003
331849.813147303,7172779.96712217,0.00244117390328114,1,0
332282.565685156,7172779.96712217,0.00245801769488713,1,0
332715.31822301,7172779.96712217,0.00247486148649312,1,0
333148.070760863,7172779.96712217,0.00249170527809912,1,0
333580.823298716,7172779.96712217,0.00250854906970511,1,0
334013.575836569,7172779.96712217,0.00252539286131111,1,0
334446.328374423,7172779.96712217,0.0025422366529171,1,0
334879.080912276,7172779.96712217,0.0025548458856552,1,0
335311.833450129,7172779.96712217,0.00256744893888838,1,0
335744.585987982,7172779.96712217,0.00258005199212156,1,0
336177.338525836,7172779.96712217,0.00259449765100699,1,0
336610.091063689,7172779.96712217,0.00260936213716178,1,0
337042.843601542,7172779.96712217,0.00262422662331657,1,0
337475.596139395,7172779.96712217,0.00263909110947135,1,0
337908.348677249,7172779.96712217,0.00265395559562614,1,0
338341.101215102,7172779.96712217,0.00266864985955356,1,0
338773.853752955,7172779.96712217,0.00268872539913079,1,0
339206.606290808,7172779.96712217,0.00270918505006708,1,0
339639.358828662,7172779.96712217,0.00272964470100338,1,0
340072.111366515,7172779.96712217,0.00275010435193968,1,0
340504.863904368,7172779.96712217,0.00277056400287597,1,0
340937.616442221,7172779.96712217,0.00278849882538928,1,0
341370.368980075,7172779.96712217,0.0028012267381482,1,0
341803.121517928,7172779.96712217,0.00281395465090713,1,0
342235.874055781,7172779.96712217,0.00282682685028368,1,0
342668.626593634,7172779.96712217,0.00284145763767001,1,0
343101.379131487,7172779.96712217,0.00285608842505633,1,0
343534.131669341,7172779.96712217,0.00287071921244266,1,0
343966.884207194,7172779.96712217,0.00288534999982899,1,0.003
344399.636745047,7172779.96712217,0.00289998078721532,1,0.003
344832.389282901,7172779.96712217,0.00291461157460164,1,0.003
345265.141820754,7172779.96712217,0.00292924236198797,1,0.003
345697.894358607,7172779.96712217,0.00294387314937429,1,0.003
346130.64689646,7172779.96712217,0.00295850393676062,1,0.003
346563.399434314,7172779.96712217,0.00296494367734482,1,0.003
346996.151972167,7172779.96712217,0.00296677577579809,1,0.003
347428.90451002,7172779.96712217,0.00296860787425136,1,0.003
347861.657047873,7172779.96712217,0.00297043997270464,1,0.003
348294.409585726,7172779.96712217,0.00297156188855591,1,0.003
348727.16212358,7172779.96712217,0.00297144935806806,1,0.003
349159.914661433,7172779.96712217,0.00297133682758021,1,0.003
349592.667199286,7172779.96712217,0.00297122429709236,1,0.003
350025.41973714,7172779.96712217,0.00297111176660451,1,0.003
350458.172274993,7172779.96712217,0.00297099923611667,1,0.003
350890.924812846,7172779.96712217,0.00297088670562882,1,0.003
